Date,alpha,beta,rho,sigma,Duration
1/2/2014,1.589610749,0.5,-0.589227151,1.709093651,80
1/3/2014,1.523750818,0.5,-0.579886355,1.70912033,79
1/6/2014,1.634865128,0.5,-0.580581426,1.662305836,76
1/7/2014,1.588719803,0.5,-0.623653121,1.611695553,75
1/8/2014,1.518681758,0.5,-0.659996745,1.616244037,74
1/9/2014,1.086239382,0.5,-0.960421105,1.674671833,73
1/10/2014,1.504631198,0.5,-0.727765619,1.59123301,81
1/13/2014,1.524113394,0.5,-0.646580865,1.706181328,78
1/14/2014,1.612326971,0.5,-0.65663732,1.592157548,77
1/15/2014,1.476045139,0.5,-0.854668761,1.620281506,76
1/16/2014,1.593103858,0.5,-0.769429655,1.632212497,75
1/17/2014,1.634586012,0.5,-0.745367144,1.609673674,74
1/21/2014,1.566994103,0.5,-0.669582299,1.595453314,89
1/22/2014,1.029332494,0.5,-0.933308354,1.668398425,88
1/23/2014,1.492337479,0.5,-0.695419531,1.635773814,87
1/24/2014,1.501161261,0.5,-0.7463786,1.894921394,86
1/27/2014,1.557542747,0.5,-0.676661463,1.869760351,83
1/28/2014,1.510766734,0.5,-0.654341896,1.788559319,82
1/29/2014,1.573402583,0.5,-0.635654785,1.894596488,81
1/30/2014,1.461853176,0.5,-0.81279896,1.91471599,80
1/31/2014,0.896335058,0.5,-1,2.085819194,79
2/3/2014,1.554738305,0.5,-0.68601935,2.22489907,76
2/4/2014,1.584575403,0.5,-0.700645391,2.038123439,75
2/5/2014,1.429633361,0.5,-0.806816906,2.177832129,74
2/6/2014,1.732134347,0.5,-0.660159177,1.889494325,73
2/7/2014,1.391937563,0.5,-0.707144325,1.796617848,100
2/10/2014,1.395978982,0.5,-0.749052984,1.791822884,97
2/11/2014,1.490696285,0.5,-0.650849458,1.712610718,96
2/12/2014,1.505254635,0.5,-0.592780764,1.71968147,95
2/13/2014,1.547802804,0.5,-0.564106672,1.679664151,94
2/14/2014,1.491813685,0.5,-0.674552761,1.651240566,93
2/18/2014,2.221810117,0.5,-0.119438685,1.550369889,89
2/19/2014,1.934060946,0.5,-0.427049886,1.651675297,88
2/20/2014,1.655841451,0.5,-0.628614371,1.677640798,87
2/21/2014,2.061986644,0.5,-0.316024798,1.512199023,86
2/24/2014,1.694613135,0.5,-0.562239305,1.619277522,83
2/25/2014,1.676272299,0.5,-0.644959993,1.643651182,82
2/26/2014,1.71852824,0.5,-0.547910269,1.64256378,81
2/27/2014,1.654158596,0.5,-0.613842078,1.644863639,80
2/28/2014,1.775049127,0.5,-0.637240502,1.637425185,79
3/3/2014,1.765133745,0.5,-0.635274789,1.799158047,76
3/4/2014,1.890483259,0.5,-0.564050416,1.604778356,75
3/5/2014,1.892951356,0.5,-0.556928596,1.610966367,74
3/6/2014,1.770310758,0.5,-0.595208663,1.607626022,73
3/7/2014,0.624421304,0.5,-1,1.924478884,107
3/10/2014,1.740602813,0.5,-0.428251073,1.703653644,104
3/11/2014,0.706543701,0.5,-1,1.948096702,103
3/12/2014,1.349510145,0.5,-0.738013855,1.813023299,102
3/13/2014,1.349630652,0.5,-0.755141917,1.951013454,101
3/14/2014,1.24646629,0.5,-0.872448267,2.053664403,100
3/17/2014,1.019853706,0.5,-1,1.947580439,97
3/18/2014,1.20907225,0.5,-1,1.871648473,96
3/19/2014,1.0334012,0.5,-1,1.871777324,95
3/20/2014,0.700375516,0.5,-1,1.911906117,94
3/21/2014,0.8035461,0.5,-1,1.972110156,93
3/24/2014,0.798297672,0.5,-1,1.967478055,90
3/25/2014,0.982162203,0.5,-1,1.871862454,89
3/26/2014,0.913013156,0.5,-0.989769478,1.983861851,88
3/27/2014,0.921231916,0.5,-0.999078201,1.869918078,87
3/28/2014,1.108321724,0.5,-0.909906946,1.858041945,86
3/31/2014,0.974384404,0.5,-0.843080878,1.852753381,83
4/1/2014,1.278975385,0.5,-0.880720719,1.719497664,82
4/2/2014,1.375504323,0.5,-0.816936064,1.705611395,81
4/3/2014,1.455809971,0.5,-0.683641633,1.722008893,80
4/4/2014,0.798198791,0.5,-1,1.881980976,79
4/7/2014,1.257263827,0.5,-0.795088111,1.928896495,76
4/8/2014,1.356732681,0.5,-0.861985082,1.84692193,75
4/9/2014,0.808492701,0.5,-1,1.845869619,74
4/10/2014,0.79301801,0.5,-1,2.016819999,73
4/11/2014,1.20392757,0.5,-1,2.041036673,81
4/14/2014,1.958682429,0.5,-0.35013391,1.847970135,78
4/15/2014,1.300196022,0.5,-1,1.91648017,77
4/16/2014,1.661139791,0.5,-0.796892244,1.747606677,76
4/17/2014,1.40458383,0.5,-0.845410468,1.748173979,75
4/21/2014,1.265334662,0.5,-0.77098094,1.750022291,90
4/22/2014,1.308089543,0.5,-0.754155182,1.721066236,89
4/23/2014,1.252750457,0.5,-0.895061502,1.739326622,88
4/24/2014,1.284456433,0.5,-0.852882465,1.741516095,87
4/25/2014,1.47347561,0.5,-0.68305848,1.77177906,86
4/28/2014,1.374981222,0.5,-0.797712563,1.742304365,83
4/29/2014,1.327648257,0.5,-0.69635845,1.724518731,82
4/30/2014,1.402578212,0.5,-0.800392601,1.689177405,81
5/1/2014,1.558839521,0.5,-0.689297679,1.658700407,80
5/2/2014,1.365255652,0.5,-0.877308699,1.674411985,79
5/5/2014,1.509720037,0.5,-0.799015616,1.648507224,76
5/6/2014,1.463637411,0.5,-0.783749389,1.722880181,75
5/7/2014,1.545250621,0.5,-0.68756254,1.656404579,74
5/8/2014,1.548200604,0.5,-0.697414125,1.670395428,73
5/9/2014,1.124994078,0.5,-1,1.703372268,100
5/12/2014,1.332019387,0.5,-0.721592882,1.631563039,97
5/13/2014,1.318410475,0.5,-0.719964103,1.656126815,96
5/14/2014,1.332047637,0.5,-0.733714174,1.665010446,95
5/15/2014,1.386501088,0.5,-0.70715708,1.706707509,94
5/16/2014,1.243850622,0.5,-0.846754,1.672142369,93
5/19/2014,1.357993412,0.5,-0.748125426,1.629195702,90
5/20/2014,1.375837354,0.5,-0.722627151,1.639107432,89
5/21/2014,1.411813974,0.5,-0.729032814,1.559178936,88
5/22/2014,1.409199021,0.5,-0.768074451,1.595719197,87
5/23/2014,1.427309328,0.5,-0.701003307,1.571113176,86
5/27/2014,0.791980546,0.5,-1,1.66307657,82
5/28/2014,1.510425216,0.5,-0.676808245,1.54011305,81
5/29/2014,1.550271796,0.5,-0.632791197,1.506114114,80
5/30/2014,1.773877815,0.5,-0.358679921,1.481227374,79
6/2/2014,1.523281499,0.5,-0.641886523,1.538135747,76
6/3/2014,1.620353134,0.5,-0.516474695,1.552016381,75
6/4/2014,1.59331506,0.5,-0.616659936,1.537485535,74
6/5/2014,1.761306478,0.5,-0.378712995,1.488749464,73
6/6/2014,0.998488482,0.5,-0.774933546,1.631875367,107
6/9/2014,1.179611365,0.5,-0.681766678,1.616259429,104
6/10/2014,1.218029867,0.5,-0.606637374,1.616396596,103
