Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
7/3/2018,1.572366518,-0.858533353,2.264989208,1.313435304,-0.942743191,2.308556817,1.745685607,-0.843644104,2.273018506,0.030039507,0.00022169,6.45E-05,0.186840324,0.009820629,0.001262972
7/5/2018,1.587708286,-0.872698539,2.294516988,1.886246123,-0.773508218,2.209024517,1.845982879,-0.780227078,2.111830972,0.066705765,0.008550971,0.03337418,0.001621129,4.51E-05,0.009446585
7/6/2018,1.603632306,-0.863268799,2.194225738,1.714090945,-0.805956528,2.111209942,1.953325651,-0.682594142,1.954735423,0.122285435,0.032643332,0.057355611,0.057233244,0.015218278,0.024484275
7/9/2018,1.691934413,-0.818288008,2.06958497,1.991166614,-0.635206525,1.9226055,2.7704751,-0.472102967,1.507036317,1.163250012,0.119844083,0.316460988,0.607321715,0.026602771,0.172697746
7/10/2018,1.971270189,-0.739970286,1.805162511,2.918764773,-0.444516703,1.42352357,0.940870653,-1,2.110619496,1.061723203,0.067615452,0.09330397,3.91206515,0.308561693,0.472100812
7/11/2018,1.674495463,-0.798679734,1.931357613,0,-1,2.416607601,2.083563336,-0.659730015,1.871882487,0.167336524,0.019307024,0.003537291,4.341236174,0.115783663,0.29672545
7/12/2018,1.76533418,-0.815491379,1.941119744,3.213052029,-0.264866268,1.550975333,2.029651455,-0.785557611,1.820845525,0.069863622,0.00089603,0.014465888,1.400436918,0.271119475,0.072829921
7/13/2018,1.656838381,-0.826692722,1.941962502,1.137877163,-1,2.028187908,2.120204381,-0.713679644,1.654110473,0.21470805,0.012771956,0.082858791,0.964966763,0.081979346,0.139933928
7/16/2018,1.872673999,-0.79477786,1.782515572,2.578066558,-0.472109536,1.512642818,2.233328906,-0.66017262,1.686710374,0.130071962,0.01811857,0.009178636,0.118844048,0.035367724,0.030299514
7/17/2018,1.922715546,-0.78294029,1.800765845,1.824161501,-0.796355778,1.789061342,2.48283079,-0.640140635,1.549053749,0.313729087,0.020391742,0.063358979,0.433845232,0.024403171,0.057603645
7/18/2018,2.008921303,-0.770454716,1.716348331,2.617746556,-0.575036652,1.484858781,2.34060563,-0.664786466,1.593156652,0.110014493,0.011165779,0.01517619,0.076807093,0.008055029,0.011728429
7/19/2018,2.047754454,-0.761967369,1.715099784,1.970164192,-0.742390994,1.683684997,2.000088032,-0.642239899,1.768895116,0.002272088,0.014334667,0.002893938,0.000895436,0.010030242,0.007260764
7/20/2018,1.940664628,-0.766681219,1.797665659,1.925871383,-0.59250782,1.800974384,1.836418548,-0.727066653,1.848106148,0.010867245,0.001569314,0.002544243,0.00800181,0.01810608,0.002221403
