,0,1,2,3,4,5,6,7
0,1160.2197287108022,1155.7721290220368,1135.8781206312171,1112.5672956600256,1084.7619641945657,1012.9040430902519,871.1863750997148,604.0083056710067
1,1060.2197287108022,1055.7721290220368,1035.8781206312171,1012.5672956600256,984.7619641945658,912.9040430902519,771.2027624314046,507.1497586849382
2,960.2197287108024,955.7721290220367,935.8781206312173,912.5672956600256,884.7619641945658,812.9040430902519,671.2824647732336,413.505225466762
3,860.2197287108024,855.7721290220367,835.8781206312173,812.5672956600255,784.7619641945658,712.9040430902519,571.5876612971849,325.1316272170168
4,760.2197287108024,755.7721290220367,735.8781206312173,712.5672956600255,684.761964194566,612.9176730467105,472.5751095105359,244.28046790983902
5,660.2197287108024,655.7721290220367,635.8781206312173,612.5672956600255,584.761964194566,512.9949262153785,375.58578124744116,173.84758541444856
6,560.2197287108024,555.7721290220367,535.8781206312173,512.5672956600255,484.76655802058,413.42739599102725,283.0440179454812,116.49194515768855
7,460.2197287108025,455.7721290220368,435.8781206312172,412.5672956600255,384.9053442112363,315.21671512138846,198.6056862087153,73.18088336079866
8,360.2197287108025,355.77219469941303,335.8978234544507,312.6604367411344,285.66381257127955,221.19759209956803,127.0808487455738,42.716820837146834
9,260.2197287108025,255.7973886351309,236.0989815924341,213.6627218574387,189.2196099880669,136.92334727609634,72.1818457015317,22.794252955730244
10,160.22635297324555,155.90493731152029,138.0056162411465,119.6571351089971,102.03816971735733,70.40651161955465,35.553177626994966,11.221466783846342
11,60.68432478329881,58.782106664637546,50.85135940595754,44.3336445553156,37.78281438893902,27.578205129685962,14.44627486912153,5.157595844294291
12,1.1596434928293693,1.9685933787404164,4.811394034970846,6.930821042445496,7.411913873436858,7.528283658959586,4.913553914951268,2.2310357869299953
13,0.0,0.012413618165028947,0.14737149495004015,0.33208722772748095,0.5931408834877634,1.4070550637292156,1.4162269019967657,0.912895258309093
14,0.0,0.0,0.006837887195872009,0.0023020222176297466,0.02101146393974277,0.1651557150660975,0.3281269674992699,0.3121093361745947
15,0.0,0.0,0.0,0.0,0.0,0.021263651118703184,0.06406608102089431,0.08708860986098689
16,0.0,0.0,0.0,0.0,0.0,0.0,0.009628484702876904,0.005291240224334706
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
