Date,alpha,beta,rho,sigma,Duration
1/2/2014,1.6360808110092202,0.8,-0.604193886174982,0.3582818312656968,80.0
1/3/2014,1.5695380879261622,0.8,-0.5984932148715683,0.3583756705712968,79.0
1/6/2014,1.6920633684907538,0.8,-0.5941870496225016,0.3482971981568233,76.0
1/7/2014,1.641421075354438,0.8,-0.6330774683132026,0.33723145259262155,75.0
1/8/2014,1.5743301552291713,0.8,-0.6657209207061314,0.33814094347222745,74.0
1/9/2014,1.1717681613761048,0.8,-0.9209488733546395,0.3500294647778954,73.0
1/10/2014,1.5883930497706529,0.8,-0.7009636405276344,0.3315793983724695,81.0
1/13/2014,1.5777346036405964,0.8,-0.6584764445958179,0.358210930154674,78.0
1/14/2014,1.6694456468805587,0.8,-0.6685968825813264,0.33320042546339224,77.0
1/15/2014,1.4558332270218495,0.8,-0.943275343307881,0.34171692291303435,76.0
1/16/2014,1.6706024649935869,0.8,-0.7630774250964016,0.3405907073059603,75.0
1/17/2014,1.6872711403175082,0.8,-0.7488651594033237,0.33704252518169103,74.0
1/21/2014,1.6307476138375603,0.8,-0.6721546272526461,0.33318481423933216,89.0
1/22/2014,1.1084294995131416,0.8,-0.9092855626313948,0.34838621207735593,88.0
1/23/2014,1.5480491645720091,0.8,-0.7000823121468089,0.3427984903979212,87.0
1/24/2014,1.552576904606776,0.8,-0.7557096362322961,0.4006827329902225,86.0
1/27/2014,1.6218359039103745,0.8,-0.6893753388089274,0.395398920393138,83.0
1/28/2014,1.561037703687354,0.8,-0.6686734823200726,0.3776363970458114,82.0
1/29/2014,1.6132477165137193,0.8,-0.6529176300876707,0.4016465572507774,81.0
1/30/2014,1.5334283704425677,0.8,-0.8073367083189705,0.4040004151809266,80.0
1/31/2014,0.970046868023806,0.8,-1.0,0.44181565509128806,79.0
2/3/2014,1.6422127557337514,0.8,-0.694195169201652,0.4732134315732317,76.0
2/4/2014,1.6488903226040055,0.8,-0.7114923813869226,0.4331171731863604,75.0
2/5/2014,1.5212754968982025,0.8,-0.7982966348594517,0.4623530087740742,74.0
2/6/2014,1.8161775945993697,0.8,-0.661517989278758,0.398511534554597,73.0
2/7/2014,1.4568149176318383,0.8,-0.710795573304632,0.3784379534024827,100.0
2/10/2014,1.461063252581979,0.8,-0.7484134277700851,0.3773604837915254,97.0
2/11/2014,1.5554854466031067,0.8,-0.6599247455614805,0.35906589200625644,96.0
2/12/2014,1.548342492345164,0.8,-0.6077170624072173,0.36106833370385355,95.0
2/13/2014,1.6098681424583634,0.8,-0.5727528605414067,0.35128543032529236,94.0
2/14/2014,1.5528506735549485,0.8,-0.6789080708681086,0.345102449181374,93.0
2/18/2014,2.2412803439982683,0.8,-0.14335622014088067,0.3231949789241625,89.0
2/19/2014,1.9715542806967312,0.8,-0.4489382043007634,0.34608294155291475,88.0
2/20/2014,1.726441991077315,0.8,-0.6278863795350544,0.35003369816354846,87.0
2/21/2014,2.1057860086930256,0.8,-0.3353232006715467,0.3152128750022981,86.0
2/24/2014,1.7440129024614903,0.8,-0.5744774072370201,0.3379933459392126,83.0
2/25/2014,1.74814915508985,0.8,-0.6389997442858748,0.34234662264525595,82.0
2/26/2014,1.779061622231167,0.8,-0.5505751555561013,0.3423012366255908,81.0
2/27/2014,1.7194791146033224,0.8,-0.6129211584837192,0.34229559769807016,80.0
2/28/2014,1.8342137716443772,0.8,-0.644331799396552,0.3408998545787782,79.0
