,Close
458,1511.8
459,1501.09
460,1435.64
461,1435.36
462,1440.64
463,1455.74
464,1411.16
465,1424.86
466,1419.48
467,1486.89
468,1521.6
469,1538.47
470,1602.75
471,1554.51
472,1607.49
473,1567.02
474,1499.29
475,1508.71
476,1512.08
477,1510.35
478,1552.75
479,1554.11
480,1522.44
481,1451.76
482,1428.89
483,1415.83
484,1416.83
485,1407.63
486,1390.4
487,1384.91
488,1436.88
489,1482.28
490,1468.46
491,1430.09
492,1447.14
493,1441.73
494,1414.08
495,1476.71
496,1469.2
497,1502
498,1529.58
499,1539.37
500,1536.76
501,1547.59
502,1538.27
503,1541.68
504,1580.29
505,1631.74
506,1629.47
507,1689
508,1716.51
509,1723.55
510,1728.94
511,1699.35
512,1755.57
513,1817.06
514,1763.94
515,1675.86
516,1675.77
517,1695.26
518,1733.42
519,1640.57
520,1662.26
521,1605.61
522,1592.01
523,1592.61
524,1563.97
525,1671.57
526,1694.65
527,1676.79
528,1620.13
529,1648.15
530,1634.08
531,1628.34
532,1626.02
533,1656.18
534,1705.51
535,1702.3
536,1733.8
537,1726.21
538,1767.05
539,1776.12
540,1747.42
541,1811.87
542,1825.63
543,1817.41
544,1830.28
545,1852.02
546,1878.4
547,1892.73
548,1894.12
549,1816.33
550,1847.16
551,1895.16
552,1939.56
553,1949.02
554,1943.35
555,1943.21
556,1920.31
557,1956.78
558,1930.57
559,1874.75
560,1876.42
561,1860.75
562,1827.47
563,1826.14
564,1901.07
565,1895.7
566,1957.94
567,1960.98
568,1980.2
569,1991.17
570,2022.95
571,2000.78
572,2035.98
573,2053.8
574,2021.56
575,2022.3
576,2029.06
577,2050.05
578,2019.41
579,1972.47
580,1967.66
581,1970.98
582,1945.5
583,1991.29
584,2076.88
585,2074.76
586,2149.58
587,2174.01
588,2160.42
589,2186.47
590,2197.14
591,2212.19
592,2196.73
593,2156.53
594,2217.38
595,2207.62
596,2236.08
597,2283.53
598,2309.22
599,2320.75
600,2331.51
601,2336.08
602,2335.92
603,2344.4
604,2391.07
605,2380.9
606,2440.9
607,2481.07
608,2508.28
609,2549.49
610,2516.99
611,2502.15
612,2531.98
613,2519.07
614,2467.49
615,2548.77
616,2576.78
617,2598.07
618,2604.35
619,2652.03
620,2622.71
621,2677.15
622,2717.23
623,2743.03
624,2805.04
625,2799.31
626,2671.59
627,2754.19
628,2816.89
629,2837.74
630,2810.26
631,2761.96
632,2698.26
633,2634.49
634,2611.99
635,2614.85
636,2493.48
637,2528.64
638,2463.52
