Date,Open,High,Low,Close,Adj Close,Volume
2007-01-04,67.625801,67.753601,64.237396,64.492897,51.632504,5944868
2007-01-05,63.703999,65.131500,62.584499,64.815903,51.891094,3700847
2007-01-08,64.838501,65.063904,63.020302,63.756599,51.043022,6511730
2007-01-09,63.779099,67.610802,63.561199,66.709198,53.406849,3766731
2007-01-10,66.866997,67.986504,65.815201,66.844498,53.515179,3758664
2007-01-11,66.866997,70.007500,66.491402,69.113403,55.331646,4988961
2007-01-12,69.045799,73.027802,67.618301,72.847504,58.321133,4845117
2007-01-15,72.915100,76.634102,72.915100,74.838501,59.915104,4082246
2007-01-16,74.650597,75.717499,72.336601,73.426003,58.784279,4663784
2007-01-17,73.320801,77.385399,72.141296,73.719002,59.018852,3449425
2007-01-18,73.628899,79.256203,72.877502,79.053299,63.289444,4078896
2007-01-19,79.053299,84.064598,79.053299,82.156303,65.773682,2962208
2007-01-22,82.719803,87.152496,82.644600,85.048798,68.089386,3396874
2007-01-23,85.499603,86.250900,78.211899,79.098396,63.325550,5561291
2007-01-24,79.263702,84.898598,79.263702,82.479301,66.032265,2582702
2007-01-25,80.766296,83.358398,79.864799,81.419998,65.184204,5969289
2007-01-26,80.390701,82.607101,73.628899,81.810699,65.496994,4771063
2007-01-29,80.991699,84.898598,79.714500,80.758797,64.654854,2470384
2007-01-30,80.187798,83.471100,80.000000,82.456802,66.014275,3535281
2007-01-31,80.991699,82.644600,76.634102,77.558197,62.092480,4427950
2007-02-01,75.124001,79.616798,74.755798,78.888000,63.157093,3448588
2007-02-02,78.114197,78.737801,75.131500,75.882797,60.751163,1995009
2007-02-05,75.875298,75.882797,72.667198,72.877502,58.345146,2640436
2007-02-06,71.382401,72.802399,67.242699,71.938400,57.593304,5260453
2007-02-07,71.510101,75.116402,71.382401,73.230698,58.627911,2392635
2007-02-08,72.802399,74.365097,70.247902,72.096199,57.719650,2445465
2007-02-09,71.510101,72.561996,69.872299,70.751297,56.642929,1632095
2007-02-12,70.473297,74.192299,70.022499,72.877502,58.345146,1665258
2007-02-13,73.538696,75.011299,72.877502,74.981201,60.029346,2497901
2007-02-14,75.567200,76.626602,73.628899,74.800903,59.885006,2078286
2007-02-15,75.619797,78.873001,75.139000,77.543198,62.080463,2236769
2007-02-16,78.715202,78.888000,74.800903,75.259201,60.251926,3337033
2007-02-26,74.981201,74.981201,72.133698,72.892601,58.357231,2039286
2007-02-27,72.501900,72.501900,65.604797,65.845200,52.715145,4241491
2007-02-28,65.845200,65.845200,65.845200,65.845200,52.715145,0
2007-03-01,72.426804,72.426804,69.782097,72.426804,57.984329,5933924
2007-03-02,72.877502,75.875298,72.096199,73.471100,58.820381,4627975
2007-03-05,73.561203,73.561203,71.224602,71.299797,57.082043,2902247
2007-03-06,70.623596,75.995499,69.872299,75.206596,60.209808,3241062
2007-03-07,76.108200,77.723503,75.139000,76.228401,61.027855,3517213
2007-03-08,75.807701,76.634102,74.455299,76.220901,61.021854,1837796
2007-03-09,75.206596,76.994698,74.455299,75.139000,60.155693,2154350
2007-03-12,74.981201,75.139000,74.102203,74.981201,60.029346,2587995
2007-03-13,74.350098,74.981201,72.141296,73.936897,59.193298,2539617
2007-03-14,72.877502,73.628899,71.600304,72.141296,57.755745,2874996
2007-03-15,71.374901,73.628899,71.374901,73.193100,58.597813,2791532
2007-03-16,73.478600,73.628899,71.449997,73.335800,58.712063,1947909
2007-03-19,71.382401,73.794098,71.224602,73.163002,58.573723,3454159
2007-03-20,73.133003,73.253197,70.961700,71.081902,56.907608,2820059
2007-03-21,71.112000,72.351601,68.835503,70.623596,56.540695,3765340
2007-03-22,70.781403,71.284798,69.121002,70.991699,56.835396,4178943
2007-03-23,70.255402,71.449997,69.271202,71.367401,57.136181,4030185
2007-03-26,71.224602,71.299797,70.398201,70.638603,56.552708,3015540
2007-03-27,70.450798,70.623596,69.008301,69.714500,55.812874,4951006
2007-03-28,69.774597,70.510902,68.369698,69.939903,55.993324,4648699
2007-03-29,70.007500,72.494400,69.331299,72.404198,57.966221,6577186
2007-03-30,72.561996,72.614601,70.022499,70.999298,56.841473,4124113
2007-04-02,71.374901,71.382401,69.045799,70.540901,56.474495,3761032
2007-04-03,70.540901,71.825699,69.203598,71.284798,57.070042,5696801
2007-04-04,71.367401,73.621300,71.367401,73.133003,58.549702,5431446
2007-04-05,72.787399,72.787399,71.164497,71.630302,57.346645,4985945
2007-04-06,71.074402,71.382401,70.247902,70.623596,56.540695,3675604
2007-04-09,71.036797,72.577003,69.797096,71.374901,57.142181,8363229
2007-04-10,71.540199,71.968399,70.698700,70.916603,56.775272,8391532
2007-04-11,71.337303,71.337303,69.797096,70.533401,56.468483,7164540
2007-04-12,70.398201,75.206596,69.857201,74.259903,59.451885,10176636
2007-04-13,74.380203,79.173599,72.877502,77.347900,61.924107,11284641
2007-04-16,76.558998,78.099197,75.507103,76.431297,61.190296,5032833
2007-04-17,76.634102,77.716003,72.877502,74.147301,59.361744,5938769
2007-04-18,74.147301,74.147301,71.750603,72.569504,58.098579,6492730
2007-04-19,71.900803,72.126198,68.670197,69.722000,55.818886,5308256
2007-04-20,69.872299,71.750603,69.797096,71.051804,56.883511,5525905
2007-04-23,71.059303,71.983498,69.872299,71.810699,57.491077,6320486
2007-04-24,72.066101,72.111198,70.255402,70.984200,56.829384,5254598
2007-04-25,70.991699,72.727303,70.323097,72.118698,57.737652,5034153
2007-04-26,72.186302,73.989502,71.374901,73.133003,58.549702,4485241
2007-04-27,73.087898,73.110397,70.338097,70.458298,56.408356,3523811
2007-04-30,69.872299,73.155502,69.534203,71.690498,57.394848,5797475
2007-05-03,69.872299,73.155502,69.534203,71.690498,57.394848,0
2007-05-04,69.872299,73.155502,69.534203,71.690498,57.394848,0
2007-05-08,72.577003,73.553703,71.773102,72.501900,58.044437,6126190
2007-05-09,72.501900,72.509399,67.543198,69.121002,55.337727,20201465
2007-05-10,69.121002,69.121002,69.121002,69.121002,55.337727,0
2007-05-11,69.121002,69.121002,69.121002,69.121002,55.337727,0
2007-05-14,70.323097,75.717499,69.256203,70.916603,56.775272,17551957
2007-05-15,70.984200,70.984200,68.264503,68.317001,54.694050,9455147
2007-05-16,68.294502,71.074402,68.144203,70.307999,56.288029,6712616
2007-05-17,70.135201,75.169098,70.120201,74.395203,59.560211,12668671
2007-05-18,73.854202,75.957901,72.877502,73.951897,59.205296,6899493
2007-05-21,71.607803,74.515404,70.721298,72.599503,58.122589,5524744
2007-05-22,72.208900,72.501900,70.766296,71.254700,57.045944,7972950
2007-05-23,71.112000,74.380203,71.104401,72.855003,58.327137,5369108
2007-05-24,73.230698,74.838501,72.607101,74.658096,59.770683,7426840
2007-05-25,75.153999,82.126198,75.153999,79.932404,63.993252,11061319
2007-05-28,80.014999,83.583801,80.000000,82.877502,66.351082,7388521
2007-05-29,83.020302,86.701698,81.367401,82.058601,65.695465,5715994
2007-05-30,78.136703,81.885803,74.981201,76.611603,61.334641,9703860
2007-05-31,76.611603,76.611603,76.611603,76.611603,61.334641,0
2007-06-01,81.900803,84.275002,81.292297,82.975197,66.429291,9272611
2007-06-04,83.155502,86.551498,77.761101,79.361397,63.536098,7579920
2007-06-05,77.385399,80.383202,71.427498,79.692001,63.800785,7047483
2007-06-06,78.888000,81.893303,76.656601,79.271202,63.463902,4177256
2007-06-07,79.278702,80.766296,78.272003,79.383904,63.554123,7103659
2007-06-08,80.232903,80.758797,78.888000,80.323097,64.306038,4767520
2007-06-11,80.841499,88.354599,80.360603,88.354599,70.735992,7200106
2007-06-12,90.150299,92.036102,86.446297,90.480797,72.438194,5881726
2007-06-13,89.774597,92.749802,88.655197,90.060097,72.101395,5148811
2007-06-14,89.256203,97.670898,88.873001,94.034599,75.283348,4642674
2007-06-15,93.140503,94.815903,93.012802,94.575500,75.716385,1982905
